"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get exercise by id","tests.exercises","Tue Aug 19 19:28:02 GMT 2025","passed","Tue Aug 19 19:28:02 GMT 2025","TestExercises","test_exercises","",""
"","12","Get file by incorrect file id","tests.files","Tue Aug 19 19:28:06 GMT 2025","passed","Tue Aug 19 19:28:06 GMT 2025","TestFiles","test_files","",""
"","29","Create course","tests.courses","Tue Aug 19 19:27:58 GMT 2025","passed","Tue Aug 19 19:27:58 GMT 2025","TestCourses","test_courses","",""
"","9","Update exercise","tests.exercises","Tue Aug 19 19:28:01 GMT 2025","broken","Tue Aug 19 19:28:01 GMT 2025","TestExercises","test_exercises","",""
"","24","Get user course by user id","tests.courses","Tue Aug 19 19:27:59 GMT 2025","passed","Tue Aug 19 19:27:59 GMT 2025","TestCourses","test_courses","",""
"","12","Get user me","tests.users","Tue Aug 19 19:28:07 GMT 2025","passed","Tue Aug 19 19:28:07 GMT 2025","TestUsers","test_users","",""
"","263","Create exercise","tests.exercises","Tue Aug 19 19:28:00 GMT 2025","passed","Tue Aug 19 19:28:00 GMT 2025","TestExercises","test_exercises","",""
"","13","Get file by id","tests.files","Tue Aug 19 19:28:03 GMT 2025","passed","Tue Aug 19 19:28:03 GMT 2025","TestFiles","test_files","",""
"","270","Upload file with empty directory","tests.files","Tue Aug 19 19:28:05 GMT 2025","passed","Tue Aug 19 19:28:05 GMT 2025","TestFiles","test_files","",""
"","19","Delete file by id","tests.files","Tue Aug 19 19:28:04 GMT 2025","passed","Tue Aug 19 19:28:04 GMT 2025","TestFiles","test_files","",""
"","550","Create user with email: gmail.com","tests.users","Tue Aug 19 19:28:06 GMT 2025","passed","Tue Aug 19 19:28:06 GMT 2025","TestUsers","test_users","",""
"","288","Create user with email: example.com","tests.users","Tue Aug 19 19:28:06 GMT 2025","passed","Tue Aug 19 19:28:06 GMT 2025","TestUsers","test_users","",""
"","551","Create user with email: mail.ru","tests.users","Tue Aug 19 19:28:05 GMT 2025","passed","Tue Aug 19 19:28:06 GMT 2025","TestUsers","test_users","",""
"","21","Delete exercise","tests.exercises","Tue Aug 19 19:28:02 GMT 2025","passed","Tue Aug 19 19:28:02 GMT 2025","TestExercises","test_exercises","",""
"","15","Get exercises by course id","tests.exercises","Tue Aug 19 19:28:00 GMT 2025","passed","Tue Aug 19 19:28:00 GMT 2025","TestExercises","test_exercises","",""
"","550","Success login","tests.authentification","Tue Aug 19 19:27:57 GMT 2025","passed","Tue Aug 19 19:27:57 GMT 2025","TestAuthentication","test_authentication","",""
"","265","Upload file with empty filename","tests.files","Tue Aug 19 19:28:04 GMT 2025","passed","Tue Aug 19 19:28:05 GMT 2025","TestFiles","test_files","",""
"","30","Get course by id","tests.courses","Tue Aug 19 19:27:59 GMT 2025","passed","Tue Aug 19 19:27:59 GMT 2025","TestCourses","test_courses","",""
"","303","Update course","tests.courses","Tue Aug 19 19:27:57 GMT 2025","passed","Tue Aug 19 19:27:57 GMT 2025","TestCourses","test_courses","",""
"","263","Create file","tests.files","Tue Aug 19 19:28:03 GMT 2025","passed","Tue Aug 19 19:28:03 GMT 2025","TestFiles","test_files","",""
