"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Update exercise","tests.exercises","Sun Aug 24 12:17:32 GMT 2025","passed","Sun Aug 24 12:17:32 GMT 2025","TestExercises","test_exercises","",""
"","299","Update course","tests.courses","Sun Aug 24 12:17:28 GMT 2025","passed","Sun Aug 24 12:17:29 GMT 2025","TestCourses","test_courses","",""
"","546","Create user with email: gmail.com","tests.users","Sun Aug 24 12:17:37 GMT 2025","passed","Sun Aug 24 12:17:38 GMT 2025","TestUsers","test_users","",""
"","284","Success login","tests.authentification","Sun Aug 24 12:17:28 GMT 2025","passed","Sun Aug 24 12:17:28 GMT 2025","TestAuthentication","test_authentication","",""
"","22","Create exercise","tests.exercises","Sun Aug 24 12:17:31 GMT 2025","passed","Sun Aug 24 12:17:31 GMT 2025","TestExercises","test_exercises","",""
"","13","Get file by id","tests.files","Sun Aug 24 12:17:35 GMT 2025","passed","Sun Aug 24 12:17:35 GMT 2025","TestFiles","test_files","",""
"","19","Delete file by id","tests.files","Sun Aug 24 12:17:35 GMT 2025","passed","Sun Aug 24 12:17:35 GMT 2025","TestFiles","test_files","",""
"","22","Create file","tests.files","Sun Aug 24 12:17:33 GMT 2025","passed","Sun Aug 24 12:17:33 GMT 2025","TestFiles","test_files","",""
"","13","Get user me","tests.users","Sun Aug 24 12:17:38 GMT 2025","passed","Sun Aug 24 12:17:38 GMT 2025","TestUsers","test_users","",""
"","519","Create user with email: example.com","tests.users","Sun Aug 24 12:17:36 GMT 2025","passed","Sun Aug 24 12:17:37 GMT 2025","TestUsers","test_users","",""
"","15","Get file by incorrect file id","tests.files","Sun Aug 24 12:17:37 GMT 2025","passed","Sun Aug 24 12:17:37 GMT 2025","TestFiles","test_files","",""
"","29","Get course by id","tests.courses","Sun Aug 24 12:17:30 GMT 2025","passed","Sun Aug 24 12:17:30 GMT 2025","TestCourses","test_courses","",""
"","28","Create course","tests.courses","Sun Aug 24 12:17:29 GMT 2025","passed","Sun Aug 24 12:17:29 GMT 2025","TestCourses","test_courses","",""
"","20","Delete exercise","tests.exercises","Sun Aug 24 12:17:33 GMT 2025","passed","Sun Aug 24 12:17:33 GMT 2025","TestExercises","test_exercises","",""
"","16","Get exercises by course id","tests.exercises","Sun Aug 24 12:17:31 GMT 2025","passed","Sun Aug 24 12:17:31 GMT 2025","TestExercises","test_exercises","",""
"","264","Upload file with empty filename","tests.files","Sun Aug 24 12:17:36 GMT 2025","passed","Sun Aug 24 12:17:36 GMT 2025","TestFiles","test_files","",""
"","18","Upload file with empty directory","tests.files","Sun Aug 24 12:17:36 GMT 2025","passed","Sun Aug 24 12:17:36 GMT 2025","TestFiles","test_files","",""
"","18","Get exercise by id","tests.exercises","Sun Aug 24 12:17:32 GMT 2025","passed","Sun Aug 24 12:17:32 GMT 2025","TestExercises","test_exercises","",""
"","22","Get user course by user id","tests.courses","Sun Aug 24 12:17:30 GMT 2025","passed","Sun Aug 24 12:17:30 GMT 2025","TestCourses","test_courses","",""
"","541","Create user with email: mail.ru","tests.users","Sun Aug 24 12:17:36 GMT 2025","passed","Sun Aug 24 12:17:36 GMT 2025","TestUsers","test_users","",""
